locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEOAGECF_00105	CDS	834				hypothetical protein
DEOAGECF_00106	CDS	1371	argD_1	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
DEOAGECF_00107	CDS	1227				hypothetical protein
DEOAGECF_00108	CDS	171				hypothetical protein
DEOAGECF_00109	CDS	171				hypothetical protein
DEOAGECF_00110	CDS	738	bcrA_1			Bacitracin transport ATP-binding protein BcrA
DEOAGECF_00111	CDS	747				hypothetical protein
DEOAGECF_00112	CDS	1674				hypothetical protein
DEOAGECF_00113	CDS	2667	ramC_1	2.7.-.-	COG0515	putative SapB synthase
DEOAGECF_00114	CDS	1299				hypothetical protein
DEOAGECF_00115	CDS	663				hypothetical protein
DEOAGECF_00116	CDS	579	desR_1		COG2197	Transcriptional regulatory protein DesR
DEOAGECF_00117	CDS	1077				hypothetical protein
DEOAGECF_00118	CDS	1068	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
DEOAGECF_00119	CDS	960	strE_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
DEOAGECF_00120	CDS	546				hypothetical protein
DEOAGECF_00121	CDS	1062				hypothetical protein
DEOAGECF_00122	CDS	2037				hypothetical protein
DEOAGECF_00123	CDS	4878				hypothetical protein
DEOAGECF_00124	tRNA	75				tRNA-Pro(cgg)
DEOAGECF_00125	CDS	762				hypothetical protein
DEOAGECF_00126	CDS	1014				hypothetical protein
DEOAGECF_00127	CDS	465	yqeY		COG1610	putative protein YqeY
DEOAGECF_00128	CDS	2292	pbpG		COG0744	Penicillin-binding protein 2D
DEOAGECF_00129	CDS	390	whiB_1			Transcriptional regulator WhiB
DEOAGECF_00130	CDS	1377				hypothetical protein
DEOAGECF_00131	CDS	978			COG0003	Putative ATPase
DEOAGECF_00132	CDS	162				hypothetical protein
DEOAGECF_00133	CDS	468				hypothetical protein
DEOAGECF_00134	CDS	1014	ephB	3.3.2.10		Epoxide hydrolase B
DEOAGECF_00135	CDS	969				hypothetical protein
DEOAGECF_00136	CDS	843	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
DEOAGECF_00137	CDS	675	crp		COG0664	CRP-like cAMP-activated global transcriptional regulator
DEOAGECF_00138	CDS	1068	nth	4.2.99.18		Endonuclease III
DEOAGECF_00139	CDS	708	nudL	3.6.1.-		putative Nudix hydrolase NudL
DEOAGECF_00140	CDS	1200		3.4.21.-	COG0265	Serine protease
DEOAGECF_00141	CDS	969	ephA	3.3.2.10		Epoxide hydrolase A
DEOAGECF_00142	CDS	489				hypothetical protein
DEOAGECF_00143	CDS	1425	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
DEOAGECF_00144	CDS	945	nudC_1	3.6.1.22		NADH pyrophosphatase
DEOAGECF_00145	CDS	1404	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
DEOAGECF_00146	CDS	3777	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
DEOAGECF_00147	CDS	3300	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
DEOAGECF_00148	CDS	390				hypothetical protein
DEOAGECF_00149	CDS	2808				hypothetical protein
DEOAGECF_00150	CDS	1566	caeA_1	3.1.1.-		Carboxylesterase A
DEOAGECF_00151	CDS	1542	caeA_2	3.1.1.-		Carboxylesterase A
DEOAGECF_00152	CDS	1179	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
DEOAGECF_00153	CDS	759				hypothetical protein
DEOAGECF_00154	CDS	1059	tal_1	1.1.1.344		dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))
DEOAGECF_00155	CDS	1158				hypothetical protein
DEOAGECF_00156	CDS	1998	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
DEOAGECF_00157	CDS	1521				hypothetical protein
DEOAGECF_00158	CDS	1170		1.13.12.4	COG1304	Lactate 2-monooxygenase
DEOAGECF_00159	CDS	435	sti1			Protease inhibitor
DEOAGECF_00160	CDS	234				hypothetical protein
DEOAGECF_00161	CDS	645	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
DEOAGECF_00162	CDS	1032				hypothetical protein
DEOAGECF_00163	CDS	180				hypothetical protein
DEOAGECF_00164	CDS	1032	ppx1_1	3.6.1.11	COG0248	Exopolyphosphatase 1
DEOAGECF_00165	CDS	2859	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DEOAGECF_00166	CDS	2226	lagD	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
DEOAGECF_00167	CDS	807				hypothetical protein
DEOAGECF_00168	CDS	216				hypothetical protein
DEOAGECF_00169	CDS	1341	sprD_1	3.4.21.-		Streptogrisin-D
DEOAGECF_00170	CDS	2484				hypothetical protein
DEOAGECF_00171	CDS	420	hrp1_1		COG0517	Hypoxic response protein 1
DEOAGECF_00172	CDS	180				hypothetical protein
DEOAGECF_00173	CDS	975	strE_2	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
DEOAGECF_00174	CDS	537				hypothetical protein
DEOAGECF_00175	CDS	1254				hypothetical protein
DEOAGECF_00176	CDS	366				hypothetical protein
DEOAGECF_00177	CDS	1755	bmrA_1	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
DEOAGECF_00178	CDS	1089		1.1.1.306		S-(hydroxymethyl)mycothiol dehydrogenase
DEOAGECF_00179	CDS	630	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
DEOAGECF_00180	CDS	927				hypothetical protein
DEOAGECF_00181	CDS	540				hypothetical protein
DEOAGECF_00182	CDS	801	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
DEOAGECF_00183	CDS	1203	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
DEOAGECF_00184	CDS	1335				hypothetical protein
DEOAGECF_00185	CDS	936	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
DEOAGECF_00186	CDS	897	lacF_1			Lactose transport system permease protein LacF
DEOAGECF_00187	CDS	1161	mlc		COG1940	Protein mlc
DEOAGECF_00188	CDS	180				hypothetical protein
DEOAGECF_00189	CDS	1356	sprD_2	3.4.21.-		Streptogrisin-D
DEOAGECF_00190	CDS	1182		4.4.1.13	COG1168	Putative cystathionine beta-lyase
DEOAGECF_00191	CDS	387				hypothetical protein
DEOAGECF_00192	CDS	1395	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
DEOAGECF_00193	CDS	414				hypothetical protein
DEOAGECF_00194	CDS	669				hypothetical protein
DEOAGECF_00195	CDS	837				hypothetical protein
DEOAGECF_00196	CDS	489	rutF_1	1.5.1.42		FMN reductase (NADH) RutF
DEOAGECF_00197	CDS	375				hypothetical protein
DEOAGECF_00198	CDS	918				hypothetical protein
DEOAGECF_00199	CDS	165				hypothetical protein
DEOAGECF_00200	CDS	276				hypothetical protein
DEOAGECF_00201	CDS	741				hypothetical protein
DEOAGECF_00202	CDS	741			COG0637	putative protein
DEOAGECF_00203	CDS	2355		3.2.1.-	COG1554	putative glycosyl hydrolase
DEOAGECF_00204	CDS	1479				hypothetical protein
DEOAGECF_00205	CDS	501				hypothetical protein
DEOAGECF_00206	CDS	222				hypothetical protein
DEOAGECF_00207	CDS	1128				hypothetical protein
DEOAGECF_00208	CDS	1215		3.2.1.39		Glucan endo-1,3-beta-glucosidase
DEOAGECF_00209	CDS	441				hypothetical protein
DEOAGECF_00210	CDS	438				hypothetical protein
DEOAGECF_00211	CDS	387	ligC_1	1.1.1.312		4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase
DEOAGECF_00212	CDS	921		3.1.1.101		Poly(ethylene terephthalate) hydrolase
DEOAGECF_00213	CDS	2691				hypothetical protein
DEOAGECF_00214	CDS	1284				hypothetical protein
DEOAGECF_00215	CDS	138				hypothetical protein
DEOAGECF_00216	CDS	792	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
DEOAGECF_00217	CDS	798	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
DEOAGECF_00218	CDS	900	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
DEOAGECF_00219	CDS	1152				hypothetical protein
DEOAGECF_00220	CDS	1281				hypothetical protein
DEOAGECF_00221	CDS	819				hypothetical protein
DEOAGECF_00222	CDS	921				hypothetical protein
DEOAGECF_00223	CDS	228				hypothetical protein
DEOAGECF_00224	CDS	519				hypothetical protein
DEOAGECF_00225	CDS	549				hypothetical protein
DEOAGECF_00226	CDS	1770		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
DEOAGECF_00227	CDS	261				hypothetical protein
DEOAGECF_00228	CDS	108				hypothetical protein
DEOAGECF_00229	CDS	987				hypothetical protein
DEOAGECF_00230	CDS	192				hypothetical protein
DEOAGECF_00231	CDS	324				hypothetical protein
DEOAGECF_00232	CDS	1461				hypothetical protein
DEOAGECF_00233	CDS	2130	paoC_1	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
DEOAGECF_00234	CDS	993	paoB_1	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
DEOAGECF_00235	CDS	618	paoA_1	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
DEOAGECF_00236	CDS	1140				hypothetical protein
DEOAGECF_00237	CDS	795	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
DEOAGECF_00238	CDS	1071				hypothetical protein
DEOAGECF_00239	CDS	396				hypothetical protein
DEOAGECF_00240	CDS	786				hypothetical protein
DEOAGECF_00241	CDS	525				hypothetical protein
DEOAGECF_00242	CDS	375				hypothetical protein
DEOAGECF_00243	CDS	1365	fprA_1	1.18.1.2	COG0493	NADPH-ferredoxin reductase FprA
DEOAGECF_00244	CDS	1473	stp_1			Multidrug resistance protein Stp
DEOAGECF_00245	CDS	147				hypothetical protein
DEOAGECF_00246	CDS	174				hypothetical protein
DEOAGECF_00247	CDS	2571				hypothetical protein
DEOAGECF_00248	CDS	2556				hypothetical protein
DEOAGECF_00249	CDS	1347	cex		COG3693	Exoglucanase/xylanase
DEOAGECF_00250	CDS	426				hypothetical protein
DEOAGECF_00251	CDS	366			COG1366	Putative anti-sigma factor antagonist
DEOAGECF_00252	CDS	255				hypothetical protein
DEOAGECF_00253	CDS	1587	glpD1	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 1
DEOAGECF_00254	CDS	618				putative HTH-type transcriptional regulator
DEOAGECF_00255	CDS	1638				hypothetical protein
DEOAGECF_00256	CDS	882	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
DEOAGECF_00257	CDS	2283	katE	1.11.1.6	COG0753	Catalase HPII
DEOAGECF_00258	CDS	228				hypothetical protein
DEOAGECF_00259	CDS	1899				hypothetical protein
DEOAGECF_00260	CDS	1032		1.17.1.9		Formate dehydrogenase, mitochondrial
DEOAGECF_00261	CDS	864	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
DEOAGECF_00262	CDS	990	ngcF_1		COG1175	Diacetylchitobiose uptake system permease protein NgcF
DEOAGECF_00263	CDS	1332				hypothetical protein
DEOAGECF_00264	CDS	1143	purR_1			HTH-type transcriptional repressor PurR
DEOAGECF_00265	CDS	294				hypothetical protein
DEOAGECF_00266	CDS	249				hypothetical protein
DEOAGECF_00267	CDS	186				hypothetical protein
DEOAGECF_00268	CDS	357	gvpA_1			Gas vesicle structural protein
DEOAGECF_00269	CDS	390				hypothetical protein
DEOAGECF_00270	CDS	273				hypothetical protein
DEOAGECF_00271	CDS	549				hypothetical protein
DEOAGECF_00272	CDS	279				hypothetical protein
DEOAGECF_00273	CDS	513				hypothetical protein
DEOAGECF_00274	CDS	447	gvpA_2			Gas vesicle structural protein
DEOAGECF_00275	CDS	90				hypothetical protein
DEOAGECF_00276	CDS	180				hypothetical protein
DEOAGECF_00277	CDS	723	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
DEOAGECF_00278	CDS	816				hypothetical protein
DEOAGECF_00279	CDS	171				hypothetical protein
DEOAGECF_00280	CDS	237				hypothetical protein
DEOAGECF_00281	CDS	591	aqdR			HTH-type transcriptional regulator AqdR
DEOAGECF_00282	CDS	1014	adhD	1.1.1.1	COG1062	Putative alcohol dehydrogenase D
DEOAGECF_00283	CDS	2187				hypothetical protein
DEOAGECF_00284	CDS	693	cbpD		COG3397	Chitin-binding protein CbpD
DEOAGECF_00285	CDS	1701				hypothetical protein
DEOAGECF_00286	CDS	387				hypothetical protein
DEOAGECF_00287	CDS	933				hypothetical protein
DEOAGECF_00288	CDS	687				hypothetical protein
DEOAGECF_00289	CDS	1080	btuF_1			Vitamin B12-binding protein
DEOAGECF_00290	CDS	1053	hmuU_1		COG0609	Hemin transport system permease protein HmuU
DEOAGECF_00291	CDS	789	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
DEOAGECF_00292	CDS	387				hypothetical protein
DEOAGECF_00293	CDS	528				hypothetical protein
DEOAGECF_00294	CDS	513				hypothetical protein
DEOAGECF_00295	CDS	1581	bmr3_1			Multidrug resistance protein 3
DEOAGECF_00296	CDS	615				hypothetical protein
DEOAGECF_00297	CDS	585	ygaP		COG0607	Inner membrane protein YgaP
DEOAGECF_00298	CDS	279				hypothetical protein
DEOAGECF_00299	CDS	744				hypothetical protein
DEOAGECF_00300	CDS	1383	gloB_3	3.1.2.6		Hydroxyacylglutathione hydrolase
DEOAGECF_00301	CDS	2391	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
DEOAGECF_00302	CDS	2376		3.2.1.-	COG0637	putative glycosyl hydrolase
DEOAGECF_00303	CDS	459				hypothetical protein
DEOAGECF_00304	CDS	549				hypothetical protein
DEOAGECF_00305	tRNA	93				tRNA-Ser(tga)
DEOAGECF_00306	CDS	159				hypothetical protein
DEOAGECF_00307	CDS	873	fmt_1	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
DEOAGECF_00308	CDS	375				hypothetical protein
DEOAGECF_00309	CDS	1866				hypothetical protein
DEOAGECF_00310	CDS	702				hypothetical protein
DEOAGECF_00311	CDS	540				hypothetical protein
DEOAGECF_00312	CDS	408				hypothetical protein
DEOAGECF_00313	CDS	960				hypothetical protein
DEOAGECF_00314	CDS	3012				hypothetical protein
DEOAGECF_00315	CDS	831	nadE_1	6.3.1.5		NH(3)-dependent NAD(+) synthetase
DEOAGECF_00316	CDS	840	pduF		COG0580	Propanediol diffusion facilitator
DEOAGECF_00317	CDS	1518	glpK_1	2.7.1.30	COG0554	Glycerol kinase
DEOAGECF_00318	CDS	1053			COG0628	Putative transport protein
DEOAGECF_00319	CDS	654				hypothetical protein
DEOAGECF_00320	CDS	909	gnl	3.1.1.17		Gluconolactonase
DEOAGECF_00321	CDS	816				hypothetical protein
DEOAGECF_00322	CDS	834			COG0596	putative protein
DEOAGECF_00323	CDS	204	scoF_1		COG1278	Cold shock protein ScoF
DEOAGECF_00324	CDS	765				hypothetical protein
DEOAGECF_00325	CDS	1086				hypothetical protein
DEOAGECF_00326	CDS	1422		3.2.1.-		Glycosyl hydrolase family 109 protein 1
DEOAGECF_00327	CDS	846	dasR_1		COG2188	HTH-type transcriptional repressor DasR
DEOAGECF_00328	CDS	1266	dasA_1		COG1653	Diacetylchitobiose binding protein DasA
DEOAGECF_00329	CDS	981	dasB_1		COG1175	Diacetylchitobiose uptake system permease protein DasB
DEOAGECF_00330	CDS	852	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
DEOAGECF_00331	CDS	1578	exoI_1	3.2.1.52	COG3525	Beta-hexosaminidase
DEOAGECF_00332	CDS	1422				hypothetical protein
DEOAGECF_00333	CDS	222				hypothetical protein
DEOAGECF_00334	CDS	2574				hypothetical protein
DEOAGECF_00335	CDS	837				hypothetical protein
DEOAGECF_00336	CDS	1872	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
DEOAGECF_00337	CDS	1179	carC_1	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
DEOAGECF_00338	CDS	1641	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
DEOAGECF_00339	CDS	597				hypothetical protein
DEOAGECF_00340	CDS	1365	exuT			Hexuronate transporter
DEOAGECF_00341	CDS	1176				hypothetical protein
DEOAGECF_00342	CDS	1539				putative protein
DEOAGECF_00343	CDS	408				hypothetical protein
DEOAGECF_00344	CDS	1059	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
DEOAGECF_00345	CDS	621				hypothetical protein
DEOAGECF_00346	CDS	528				hypothetical protein
DEOAGECF_00347	CDS	2139				hypothetical protein
DEOAGECF_00348	CDS	1524	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
DEOAGECF_00349	CDS	1410				hypothetical protein
DEOAGECF_00350	CDS	1002		5.1.3.2	COG1088	UDP-glucose 4-epimerase
DEOAGECF_00351	CDS	714	hddC_1	2.7.7.71		D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
DEOAGECF_00352	CDS	927	tal_2	1.1.1.344		dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))
DEOAGECF_00353	CDS	663				hypothetical protein
DEOAGECF_00354	CDS	849				hypothetical protein
DEOAGECF_00355	CDS	330	mhuD	1.14.99.57	COG2329	Heme oxygenase (mycobilin-producing)
DEOAGECF_00356	CDS	3417	pycA	6.4.1.1		Pyruvate carboxylase
DEOAGECF_00357	CDS	879				hypothetical protein
DEOAGECF_00358	CDS	1329				hypothetical protein
DEOAGECF_00359	CDS	690	mprA_1		COG0745	Response regulator MprA
DEOAGECF_00360	CDS	270				hypothetical protein
DEOAGECF_00361	CDS	243				hypothetical protein
DEOAGECF_00362	CDS	1671				hypothetical protein
DEOAGECF_00363	CDS	1776				hypothetical protein
DEOAGECF_00364	CDS	2868				hypothetical protein
DEOAGECF_00365	CDS	699				hypothetical protein
DEOAGECF_00366	CDS	1527				hypothetical protein
DEOAGECF_00367	CDS	978				hypothetical protein
DEOAGECF_00368	CDS	267				hypothetical protein
DEOAGECF_00369	CDS	993				hypothetical protein
DEOAGECF_00370	CDS	2223	katG_1	1.11.1.21	COG0376	Catalase-peroxidase
DEOAGECF_00371	CDS	447	furA		COG0735	Transcriptional regulator FurA
DEOAGECF_00372	CDS	1101				hypothetical protein
DEOAGECF_00373	CDS	423				hypothetical protein
DEOAGECF_00374	CDS	726				hypothetical protein
DEOAGECF_00375	CDS	150				hypothetical protein
DEOAGECF_00376	CDS	1077				hypothetical protein
DEOAGECF_00377	CDS	1917	dinG_1	3.1.-.-		3'-5' exonuclease DinG
DEOAGECF_00378	CDS	165	rpmG2_1		COG0267	50S ribosomal protein L33 2
DEOAGECF_00379	CDS	705	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
DEOAGECF_00380	CDS	726	pepE_1	3.4.13.21	COG3340	Peptidase E
DEOAGECF_00381	CDS	876	apnO	1.1.1.-		D-apionate oxidoisomerase
DEOAGECF_00382	CDS	801	oiaC	4.1.1.-		3-oxo-isoapionate decarboxylase
DEOAGECF_00383	CDS	783	lerI	5.3.1.33	COG0149	L-erythrulose-1-phosphate isomerase
DEOAGECF_00384	CDS	483	derI1	5.3.1.34	COG0698	D-erythrulose-4-phosphate isomerase 1
DEOAGECF_00385	CDS	1788	lerK	2.7.1.209	COG2376	L-erythrulose kinase
DEOAGECF_00386	CDS	1368	ttuB_1			Putative tartrate transporter
DEOAGECF_00387	CDS	762	nanR_1			HTH-type transcriptional repressor NanR
DEOAGECF_00388	CDS	1872				hypothetical protein
DEOAGECF_00389	CDS	1227	cypX	1.14.15.13	COG2124	Pulcherriminic acid synthase
DEOAGECF_00390	CDS	1263	vdh_1	1.14.15.15		Vitamin D(3) 25-hydroxylase
DEOAGECF_00391	CDS	636				hypothetical protein
DEOAGECF_00392	CDS	357				hypothetical protein
DEOAGECF_00393	CDS	459				hypothetical protein
DEOAGECF_00394	CDS	1710				hypothetical protein
DEOAGECF_00395	CDS	417				hypothetical protein
DEOAGECF_00396	CDS	498				hypothetical protein
DEOAGECF_00397	CDS	807				hypothetical protein
DEOAGECF_00398	CDS	972				hypothetical protein
DEOAGECF_00399	CDS	840	acm_1	3.2.1.17		Lysozyme M1
DEOAGECF_00400	CDS	723				hypothetical protein
