# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
469058at2	Complete	NODE_81_length_31854_cov_89.513726	24591	25712	+	386.6	296	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_13_length_87636_cov_89.371436	70531	72111	-	305.8	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_55_length_37593_cov_100.293893	16825	18234	+	196.2	232	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Fragmented	NODE_152_length_17558_cov_88.742929	16270	17271	-	324.1	236	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_183_length_13459_cov_56.553705	7515	8537	+	260.2	227	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_224_length_8765_cov_96.174925	2136	3839	+	713.2	536	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_18_length_71546_cov_97.389896	24168	25784	-	180.7	261	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_27_length_63206_cov_88.069595	21738	22433	-	239.7	208	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_206_length_11091_cov_78.400036	6014	7603	-	639.5	408	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_26_length_64407_cov_80.625591	3856	4911	+	134.9	193	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_285_length_3971_cov_99.461759	2059	3132	+	392.2	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_46_length_40610_cov_91.837710	6861	7928	+	392.6	302	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_198_length_11693_cov_88.754799	9819	11069	-	621.6	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_67_length_34414_cov_90.716452	25498	26892	-	72.5	228	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_191_length_12671_cov_69.011878	4048	4884	-	227.1	172	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_78_length_32324_cov_90.111532	25783	26967	+	249.2	258	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_14_length_87081_cov_92.841307	18507	19469	+	213.6	212	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_63_length_35795_cov_84.512476	23365	24573	-	256.8	223	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_32_length_56578_cov_93.434518	42072	43280	-	432.2	307	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_101_length_27181_cov_88.554558	12450	14591	-	263.3	320	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_60_length_36613_cov_87.147728	8802	9560	-	153.7	145	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_13_length_87636_cov_89.371436	31782	33353	-	573.6	438	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_187_length_12914_cov_92.393837	5202	6332	+	383.8	326	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_90_length_28598_cov_87.644902	27413	28351	-	140.7	179	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_27_length_63206_cov_88.069595	45271	46989	-	269.1	437	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_54_length_37736_cov_89.743625	17680	18798	+	397.1	260	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_63_length_35795_cov_84.512476	28228	29664	-	312.3	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_191_length_12671_cov_69.011878	2532	3362	-	203.2	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_63_length_35795_cov_84.512476	29646	30740	-	256.9	262	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_69_length_33838_cov_82.967488	29874	30779	-	114.9	137	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NODE_78_length_32324_cov_90.111532	15943	16557	+	164.2	161	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NODE_156_length_17395_cov_105.537410	2392	3495	+	233.5	235	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_101_length_27181_cov_88.554558	2830	3606	-	333.9	247	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_191_length_12671_cov_69.011878	6009	6653	-	172.9	161	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_94_length_28049_cov_100.517513	775	1704	-	125.8	152	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NODE_32_length_56578_cov_93.434518	43521	44723	-	339.6	294	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NODE_28_length_60412_cov_92.667828	467	1771	-	98.6	144	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_183_length_13459_cov_56.553705	415	954	+	150.0	157	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NODE_140_length_20239_cov_94.287639	2654	3664	+	257.4	260	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_191_length_12671_cov_69.011878	215	772	-	220.6	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_26_length_64407_cov_80.625591	14322	14852	+	84.1	116	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_14_length_87081_cov_92.841307	33649	34398	-	33.5	85	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_183_length_13459_cov_56.553705	4188	4841	+	142.8	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_60_length_36613_cov_87.147728	23923	24486	-	28.8	76	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_32_length_56578_cov_93.434518	45175	45768	-	269.8	179	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_69_length_33838_cov_82.967488	24695	25651	-	176.4	218	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_183_length_13459_cov_56.553705	1385	1990	+	220.0	147	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_26_length_64407_cov_80.625591	42684	43154	+	192.2	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_183_length_13459_cov_56.553705	2875	4188	+	344.5	318	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_191_length_12671_cov_69.011878	5344	6000	-	129.5	99	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_78_length_32324_cov_90.111532	31610	32038	+	132.1	140	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_89_length_28735_cov_72.186661	22075	22746	-	52.9	64	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NODE_90_length_28598_cov_87.644902	19724	21217	-	497.4	380	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_224_length_8765_cov_96.174925	6362	6913	+	41.0	52	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NODE_60_length_36613_cov_87.147728	10699	11601	-	268.1	187	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NODE_1_length_176229_cov_94.921846	77806	78405	+	166.9	148	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_191_length_12671_cov_69.011878	3362	3709	-	117.6	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_26_length_64407_cov_80.625591	11363	12088	+	220.7	164	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_60_length_36613_cov_87.147728	8063	8620	-	147.8	124	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NODE_123_length_22444_cov_82.185240	10638	11234	+	120.7	104	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Fragmented	NODE_183_length_13459_cov_56.553705	1	390	+	107.6	85	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_60_length_36613_cov_87.147728	22602	22952	-	125.0	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_206_length_11091_cov_78.400036	5075	5992	-	156.1	170	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_26_length_64407_cov_80.625591	10847	11281	+	140.2	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NODE_26_length_64407_cov_80.625591	42310	42681	+	175.2	100	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_183_length_13459_cov_56.553705	6995	7399	+	161.4	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NODE_86_length_30927_cov_88.388571	20215	20694	-	206.6	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NODE_193_length_12221_cov_94.641392	11085	11834	-	57.8	75	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_81_length_31854_cov_89.513726	20620	21396	+	91.3	92	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NODE_155_length_17485_cov_97.046837	12962	13474	-	105.8	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_183_length_13459_cov_56.553705	6548	6928	+	137.7	99	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_92_length_28313_cov_70.797027	23322	23612	-	55.8	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_191_length_12671_cov_69.011878	2107	2526	-	158.7	102	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_191_length_12671_cov_69.011878	1098	1466	-	142.9	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NODE_155_length_17485_cov_97.046837	13517	13960	-	157.8	111	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_26_length_64407_cov_80.625591	14968	15357	+	93.5	88	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_155_length_17485_cov_97.046837	200	733	-	57.3	71	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_140_length_20239_cov_94.287639	12344	12931	+	82.6	85	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_14_length_87081_cov_92.841307	3942	4439	+	72.9	71	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_183_length_13459_cov_56.553705	8695	9180	+	97.7	97	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_47_length_40118_cov_97.072866	15711	16580	-	34.8	80	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_32_length_56578_cov_93.434518	54667	55647	-	169.2	179	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_140_length_20239_cov_94.287639	12928	13437	+	129.5	106	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_183_length_13459_cov_56.553705	2178	2633	+	78.2	88	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_140_length_20239_cov_94.287639	15679	16524	+	68.7	94	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_191_length_12671_cov_69.011878	3754	4035	-	133.5	70	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_14_length_87081_cov_92.841307	81763	82017	-	119.0	66	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_1_length_176229_cov_94.921846	27080	27766	+	40.2	69	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_81_length_31854_cov_89.513726	21799	22182	+	112.3	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_60_length_36613_cov_87.147728	24856	25275	-	105.7	69	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_206_length_11091_cov_78.400036	7765	8580	-	245.7	247	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Duplicated	NODE_92_length_28313_cov_70.797027	22490	22726	-	87.5	48	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1940575at2	Duplicated	NODE_142_length_19851_cov_99.002636	918	1151	-	86.0	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_14_length_87081_cov_92.841307	82032	82454	-	114.5	100	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_92_length_28313_cov_70.797027	22025	22471	-	82.2	85	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_183_length_13459_cov_56.553705	958	1341	+	135.1	101	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NODE_69_length_33838_cov_82.967488	30776	31246	-	144.4	125	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_191_length_12671_cov_69.011878	4925	5344	-	127.4	153	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_69_length_33838_cov_82.967488	10242	10529	-	106.0	65	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_14_length_87081_cov_92.841307	65094	65540	-	79.9	80	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_14_length_87081_cov_92.841307	47907	48173	+	67.5	68	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_191_length_12671_cov_69.011878	6670	6978	-	145.3	87	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_191_length_12671_cov_69.011878	1596	1883	-	90.8	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_191_length_12671_cov_69.011878	772	1095	-	56.2	44	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_81_length_31854_cov_89.513726	21507	21701	+	37.0	27	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_191_length_12671_cov_69.011878	1883	2107	-	56.5	34	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_183_length_13459_cov_56.553705	5956	6177	+	91.4	49	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_78_length_32324_cov_90.111532	22445	22939	+	42.9	71	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
