locus_tag	ftype	length_bp	gene	EC_number	COG	product
MMFJJJCJ_00040	CDS	1047	purR_1		COG1609	HTH-type transcriptional repressor PurR
MMFJJJCJ_00041	CDS	237				hypothetical protein
MMFJJJCJ_00042	CDS	855				hypothetical protein
MMFJJJCJ_00043	CDS	1479	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
MMFJJJCJ_00044	CDS	1236				hypothetical protein
MMFJJJCJ_00045	CDS	1077	pyrD_1	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
MMFJJJCJ_00046	CDS	177				hypothetical protein
MMFJJJCJ_00047	CDS	1164				hypothetical protein
MMFJJJCJ_00048	CDS	1095				hypothetical protein
MMFJJJCJ_00049	CDS	1356	lpqY		COG1653	Trehalose-binding lipoprotein LpqY
MMFJJJCJ_00050	CDS	933	sugA_1		COG1175	Trehalose transport system permease protein SugA
MMFJJJCJ_00051	CDS	831	sugB_1		COG0395	Trehalose transport system permease protein SugB
MMFJJJCJ_00052	CDS	1257	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
MMFJJJCJ_00053	CDS	1260				hypothetical protein
MMFJJJCJ_00054	CDS	1086				hypothetical protein
MMFJJJCJ_00055	CDS	1578	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
MMFJJJCJ_00056	CDS	933	xerC_1			Tyrosine recombinase XerC
MMFJJJCJ_00057	CDS	843				hypothetical protein
MMFJJJCJ_00058	CDS	726	kdgR_1		COG1414	Transcriptional regulator KdgR
MMFJJJCJ_00059	CDS	1269	ydhP_1		COG2814	Inner membrane transport protein YdhP
MMFJJJCJ_00060	CDS	804				hypothetical protein
MMFJJJCJ_00061	CDS	237				hypothetical protein
MMFJJJCJ_00062	CDS	390				hypothetical protein
MMFJJJCJ_00063	CDS	831				hypothetical protein
MMFJJJCJ_00064	CDS	198				hypothetical protein
MMFJJJCJ_00065	CDS	1179			COG0654	putative protein
MMFJJJCJ_00066	CDS	1467	speA	4.1.1.19	COG1982	Arginine decarboxylase
MMFJJJCJ_00067	CDS	1239	ldtB_1	2.3.2.-	COG1376	L,D-transpeptidase 2
MMFJJJCJ_00068	CDS	165				hypothetical protein
MMFJJJCJ_00069	CDS	288				hypothetical protein
MMFJJJCJ_00070	CDS	1035	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
MMFJJJCJ_00071	CDS	1146	dadA_1	1.4.99.-		D-amino acid dehydrogenase
MMFJJJCJ_00072	CDS	1098	cytR_1		COG1609	HTH-type transcriptional repressor CytR
MMFJJJCJ_00073	CDS	759	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MMFJJJCJ_00074	CDS	753	gltK		COG0765	Glutamate/aspartate import permease protein GltK
MMFJJJCJ_00075	CDS	858	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
MMFJJJCJ_00076	CDS	840				hypothetical protein
MMFJJJCJ_00077	CDS	702				hypothetical protein
MMFJJJCJ_00078	CDS	366				hypothetical protein
MMFJJJCJ_00079	CDS	372				hypothetical protein
MMFJJJCJ_00080	CDS	282				hypothetical protein
MMFJJJCJ_00081	CDS	984				hypothetical protein
MMFJJJCJ_00082	CDS	1416				hypothetical protein
MMFJJJCJ_00083	CDS	1884				hypothetical protein
MMFJJJCJ_00084	CDS	546				hypothetical protein
MMFJJJCJ_00085	CDS	1266	ykuR	3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
MMFJJJCJ_00086	CDS	816				hypothetical protein
MMFJJJCJ_00087	CDS	1716	irtB	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtB
MMFJJJCJ_00088	CDS	1839	irtA	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtA
MMFJJJCJ_00089	CDS	393				hypothetical protein
MMFJJJCJ_00090	CDS	1473	stp_1			Multidrug resistance protein Stp
MMFJJJCJ_00091	CDS	1128	lnrJ_1	2.7.13.3		Sensor histidine kinase LnrJ
MMFJJJCJ_00092	CDS	660	vraR_1			Response regulator protein VraR
MMFJJJCJ_00093	CDS	333				hypothetical protein
MMFJJJCJ_00094	CDS	195				hypothetical protein
MMFJJJCJ_00095	CDS	1164				hypothetical protein
MMFJJJCJ_00096	CDS	1107				hypothetical protein
MMFJJJCJ_00097	CDS	264				hypothetical protein
MMFJJJCJ_00098	CDS	141				hypothetical protein
MMFJJJCJ_00099	CDS	234				hypothetical protein
MMFJJJCJ_00100	CDS	381				hypothetical protein
MMFJJJCJ_00101	CDS	366				hypothetical protein
MMFJJJCJ_00102	CDS	1347				hypothetical protein
MMFJJJCJ_00103	CDS	294				hypothetical protein
MMFJJJCJ_00104	CDS	753				hypothetical protein
MMFJJJCJ_00105	CDS	381				hypothetical protein
MMFJJJCJ_00106	CDS	339				hypothetical protein
MMFJJJCJ_00107	CDS	156				hypothetical protein
MMFJJJCJ_00108	CDS	1398				hypothetical protein
MMFJJJCJ_00109	CDS	180				hypothetical protein
MMFJJJCJ_00110	CDS	1260				hypothetical protein
MMFJJJCJ_00111	tRNA	75				tRNA-Phe(gaa)
MMFJJJCJ_00112	tRNA	78				tRNA-Asp(gtc)
MMFJJJCJ_00113	CDS	1425	cycA		COG1113	D-serine/D-alanine/glycine transporter
MMFJJJCJ_00114	CDS	1635	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
MMFJJJCJ_00115	CDS	1674			COG2114	putative protein
MMFJJJCJ_00116	CDS	912	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
MMFJJJCJ_00117	CDS	264		4.2.1.84		Low-molecular weight cobalt-containing nitrile hydratase subunit beta
MMFJJJCJ_00118	CDS	297	nhhB	4.2.1.84		High-molecular weight cobalt-containing nitrile hydratase subunit beta
MMFJJJCJ_00119	CDS	588		4.2.1.84		Low-molecular weight cobalt-containing nitrile hydratase subunit alpha
MMFJJJCJ_00120	CDS	1425	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MMFJJJCJ_00121	CDS	1338				hypothetical protein
MMFJJJCJ_00122	CDS	171				hypothetical protein
MMFJJJCJ_00123	CDS	873				hypothetical protein
MMFJJJCJ_00124	CDS	213				hypothetical protein
MMFJJJCJ_00125	CDS	1314				hypothetical protein
MMFJJJCJ_00126	CDS	381				hypothetical protein
MMFJJJCJ_00127	CDS	2256				hypothetical protein
MMFJJJCJ_00128	CDS	2946			COG0247	putative protein
MMFJJJCJ_00129	CDS	1515	caeA_1	3.1.1.-		Carboxylesterase A
MMFJJJCJ_00130	CDS	1254				putative MFS-type transporter
MMFJJJCJ_00131	CDS	480				hypothetical protein
MMFJJJCJ_00132	CDS	528				hypothetical protein
MMFJJJCJ_00133	CDS	390				hypothetical protein
MMFJJJCJ_00134	CDS	333				hypothetical protein
MMFJJJCJ_00135	CDS	585				hypothetical protein
MMFJJJCJ_00136	CDS	306				hypothetical protein
MMFJJJCJ_00137	CDS	246				hypothetical protein
MMFJJJCJ_00138	CDS	1218				hypothetical protein
MMFJJJCJ_00139	CDS	795				hypothetical protein
MMFJJJCJ_00140	CDS	1077				hypothetical protein
MMFJJJCJ_00141	CDS	312				hypothetical protein
MMFJJJCJ_00142	CDS	777				hypothetical protein
MMFJJJCJ_00143	CDS	915	rhaS_1			HTH-type transcriptional activator RhaS
MMFJJJCJ_00144	CDS	591	vdcB	2.5.1.129		putative UbiX-like flavin prenyltransferase
MMFJJJCJ_00145	CDS	1425	vdcC	4.1.1.-		Phenolic acid decarboxylase
MMFJJJCJ_00146	CDS	246	vdcD			Protein VdcD
MMFJJJCJ_00147	CDS	561				hypothetical protein
MMFJJJCJ_00148	CDS	147				hypothetical protein
MMFJJJCJ_00149	CDS	978				hypothetical protein
MMFJJJCJ_00150	CDS	927				hypothetical protein
MMFJJJCJ_00151	CDS	756	nagR_1		COG2188	HTH-type transcriptional repressor NagR
MMFJJJCJ_00152	CDS	1011	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
MMFJJJCJ_00153	CDS	861	iolE	4.2.1.44	COG1082	Inosose dehydratase
MMFJJJCJ_00154	CDS	939	iolC_1	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
MMFJJJCJ_00155	CDS	891				hypothetical protein
MMFJJJCJ_00156	CDS	861	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
MMFJJJCJ_00157	CDS	1851	iolD	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
MMFJJJCJ_00158	CDS	972				hypothetical protein
MMFJJJCJ_00159	CDS	1050	rbsC_1		COG1172	Ribose import permease protein RbsC
MMFJJJCJ_00160	CDS	822	frcA_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
MMFJJJCJ_00161	CDS	939	rbsC_2		COG1172	Ribose import permease protein RbsC
MMFJJJCJ_00162	CDS	1020				hypothetical protein
MMFJJJCJ_00163	CDS	873				hypothetical protein
MMFJJJCJ_00164	CDS	177				hypothetical protein
MMFJJJCJ_00165	CDS	903	glcA	3.2.1.39		Glucan endo-1,3-beta-glucosidase A1
MMFJJJCJ_00166	CDS	879	azoB_1	1.7.-.-		NAD(P)H azoreductase
MMFJJJCJ_00167	CDS	480				hypothetical protein
MMFJJJCJ_00168	CDS	150				hypothetical protein
MMFJJJCJ_00169	CDS	447				hypothetical protein
MMFJJJCJ_00170	CDS	324	lsr2_1			Nucleoid-associated protein Lsr2
MMFJJJCJ_00171	CDS	933				hypothetical protein
MMFJJJCJ_00172	CDS	759				hypothetical protein
MMFJJJCJ_00173	CDS	462				hypothetical protein
MMFJJJCJ_00174	CDS	843				hypothetical protein
MMFJJJCJ_00175	CDS	3141				hypothetical protein
MMFJJJCJ_00176	CDS	750	drrB_1			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
MMFJJJCJ_00177	CDS	939	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
MMFJJJCJ_00178	CDS	672				hypothetical protein
MMFJJJCJ_00179	CDS	219				hypothetical protein
MMFJJJCJ_00180	CDS	231				hypothetical protein
MMFJJJCJ_00181	CDS	762				hypothetical protein
MMFJJJCJ_00182	CDS	342	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
MMFJJJCJ_00183	CDS	585				hypothetical protein
MMFJJJCJ_00184	CDS	1749				hypothetical protein
MMFJJJCJ_00185	CDS	2523				hypothetical protein
MMFJJJCJ_00186	CDS	1458				hypothetical protein
MMFJJJCJ_00187	CDS	1317				hypothetical protein
MMFJJJCJ_00188	CDS	450	vsr	3.1.-.-	COG3727	Very short patch repair protein
MMFJJJCJ_00189	CDS	840	naeIR	3.1.21.4		Type-2 restriction enzyme NaeI
MMFJJJCJ_00190	CDS	399			COG3039	IS5 family transposase ISSan1
MMFJJJCJ_00191	CDS	441				hypothetical protein
MMFJJJCJ_00192	CDS	798				hypothetical protein
MMFJJJCJ_00193	CDS	237				hypothetical protein
MMFJJJCJ_00194	CDS	483				hypothetical protein
MMFJJJCJ_00195	CDS	1440				hypothetical protein
MMFJJJCJ_00196	CDS	240				hypothetical protein
MMFJJJCJ_00197	tRNA	74				tRNA-Glu(ttc)
MMFJJJCJ_00198	CDS	1545	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
MMFJJJCJ_00199	CDS	333				hypothetical protein
MMFJJJCJ_00200	CDS	1482				hypothetical protein
MMFJJJCJ_00201	CDS	318				hypothetical protein
MMFJJJCJ_00202	CDS	165				hypothetical protein
MMFJJJCJ_00203	CDS	1020	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
MMFJJJCJ_00204	CDS	222				hypothetical protein
MMFJJJCJ_00205	CDS	987		3.4.11.24	COG2234	Aminopeptidase S
MMFJJJCJ_00206	CDS	1707		3.4.-.-		Transglutaminase-activating metalloprotease
MMFJJJCJ_00207	CDS	1032				hypothetical protein
MMFJJJCJ_00208	CDS	744				hypothetical protein
MMFJJJCJ_00209	CDS	744			COG2513	putative protein
MMFJJJCJ_00210	CDS	153				hypothetical protein
MMFJJJCJ_00211	CDS	126				hypothetical protein
MMFJJJCJ_00212	CDS	978				hypothetical protein
MMFJJJCJ_00213	CDS	765				hypothetical protein
MMFJJJCJ_00214	CDS	1230				hypothetical protein
MMFJJJCJ_00215	CDS	1008	btuF_1			Vitamin B12-binding protein
MMFJJJCJ_00216	tRNA	81				tRNA-Ser(gct)
MMFJJJCJ_00217	CDS	756	fecE_1		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
MMFJJJCJ_00218	CDS	1008	btuF_2			Vitamin B12-binding protein
MMFJJJCJ_00219	CDS	774	fecE_2		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
MMFJJJCJ_00220	CDS	1119	btuC_1			Vitamin B12 import system permease protein BtuC
MMFJJJCJ_00221	CDS	495				hypothetical protein
MMFJJJCJ_00222	CDS	249				hypothetical protein
MMFJJJCJ_00223	CDS	165				hypothetical protein
MMFJJJCJ_00224	CDS	756				hypothetical protein
MMFJJJCJ_00225	CDS	855				hypothetical protein
MMFJJJCJ_00226	CDS	1608	phoD_1	3.1.3.1	COG3540	Alkaline phosphatase D
MMFJJJCJ_00227	CDS	666				hypothetical protein
MMFJJJCJ_00228	CDS	1095	ord_1	1.4.1.26		2,4-diaminopentanoate dehydrogenase
MMFJJJCJ_00229	CDS	327				hypothetical protein
MMFJJJCJ_00230	CDS	468				hypothetical protein
MMFJJJCJ_00231	CDS	288				hypothetical protein
MMFJJJCJ_00232	CDS	408	xerC_2			Tyrosine recombinase XerC
MMFJJJCJ_00233	tRNA	76				tRNA-Lys(ttt)
MMFJJJCJ_00234	CDS	954				hypothetical protein
MMFJJJCJ_00235	CDS	642	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
MMFJJJCJ_00236	CDS	1284		1.14.15.29	COG2124	Steroid C26-monooxygenase
MMFJJJCJ_00237	CDS	414				hypothetical protein
MMFJJJCJ_00238	CDS	681	clcD	3.1.1.45		Carboxymethylenebutenolidase
MMFJJJCJ_00239	CDS	921				hypothetical protein
MMFJJJCJ_00240	CDS	459				hypothetical protein
MMFJJJCJ_00241	CDS	300				hypothetical protein
MMFJJJCJ_00242	CDS	1383	bglB	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglB
MMFJJJCJ_00243	CDS	396				hypothetical protein
MMFJJJCJ_00244	CDS	846				hypothetical protein
MMFJJJCJ_00245	CDS	246				hypothetical protein
MMFJJJCJ_00246	CDS	777	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
MMFJJJCJ_00247	CDS	1020				hypothetical protein
MMFJJJCJ_00248	CDS	849	ydaD_1	1.-.-.-		General stress protein 39
MMFJJJCJ_00249	CDS	774		1.-.-.-		putative oxidoreductase
MMFJJJCJ_00250	CDS	765	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
MMFJJJCJ_00251	CDS	699				hypothetical protein
MMFJJJCJ_00252	CDS	1065				hypothetical protein
MMFJJJCJ_00253	CDS	213				hypothetical protein
MMFJJJCJ_00254	CDS	741				hypothetical protein
MMFJJJCJ_00255	CDS	471				hypothetical protein
MMFJJJCJ_00256	CDS	1875	pepX_1	3.4.14.11		Xaa-Pro dipeptidyl-peptidase
MMFJJJCJ_00257	CDS	414				hypothetical protein
MMFJJJCJ_00258	CDS	723	tcrX_1		COG0745	putative transcriptional regulatory protein TcrX
MMFJJJCJ_00259	CDS	1464	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
MMFJJJCJ_00260	CDS	960				hypothetical protein
MMFJJJCJ_00261	CDS	426	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
MMFJJJCJ_00262	CDS	564	def_1	3.5.1.88	COG0242	Peptide deformylase
MMFJJJCJ_00263	CDS	1059				hypothetical protein
MMFJJJCJ_00264	CDS	522	yrdA		COG0663	Protein YrdA
MMFJJJCJ_00265	CDS	3753				hypothetical protein
MMFJJJCJ_00266	CDS	189				hypothetical protein
MMFJJJCJ_00267	CDS	213				hypothetical protein
MMFJJJCJ_00268	CDS	618				hypothetical protein
MMFJJJCJ_00269	CDS	1158				hypothetical protein
MMFJJJCJ_00270	CDS	1659	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
MMFJJJCJ_00271	CDS	873	mshD_1	2.3.1.189	COG0456	Mycothiol acetyltransferase
MMFJJJCJ_00272	CDS	1104	pstS3		COG0226	Phosphate-binding protein PstS 3
MMFJJJCJ_00273	CDS	981	pstC2		COG0573	Phosphate transport system permease protein PstC 2
MMFJJJCJ_00274	CDS	906	pstA1		COG0581	Phosphate transport system permease protein PstA 1
MMFJJJCJ_00275	CDS	777	pstB1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 1
MMFJJJCJ_00276	CDS	408				hypothetical protein
MMFJJJCJ_00277	CDS	756				hypothetical protein
MMFJJJCJ_00278	CDS	120				hypothetical protein
MMFJJJCJ_00279	CDS	720				hypothetical protein
MMFJJJCJ_00280	CDS	261				hypothetical protein
MMFJJJCJ_00281	CDS	711				hypothetical protein
MMFJJJCJ_00282	CDS	513	sigL_1		COG1595	ECF RNA polymerase sigma factor SigL
MMFJJJCJ_00283	CDS	279				hypothetical protein
MMFJJJCJ_00284	CDS	486				hypothetical protein
MMFJJJCJ_00285	CDS	594				hypothetical protein
MMFJJJCJ_00286	CDS	3717				hypothetical protein
MMFJJJCJ_00287	CDS	507				hypothetical protein
MMFJJJCJ_00288	CDS	2334				hypothetical protein
MMFJJJCJ_00289	CDS	318				hypothetical protein
MMFJJJCJ_00290	CDS	522				hypothetical protein
MMFJJJCJ_00291	CDS	621				hypothetical protein
MMFJJJCJ_00292	CDS	1161				hypothetical protein
MMFJJJCJ_00293	CDS	306				hypothetical protein
MMFJJJCJ_00294	CDS	486				hypothetical protein
MMFJJJCJ_00295	CDS	126				hypothetical protein
MMFJJJCJ_00296	CDS	738				hypothetical protein
MMFJJJCJ_00297	CDS	354				hypothetical protein
MMFJJJCJ_00298	CDS	240				hypothetical protein
MMFJJJCJ_00299	CDS	393				hypothetical protein
MMFJJJCJ_00300	CDS	213				hypothetical protein
MMFJJJCJ_00301	CDS	255				hypothetical protein
MMFJJJCJ_00302	CDS	936				hypothetical protein
MMFJJJCJ_00303	CDS	375				hypothetical protein
MMFJJJCJ_00304	CDS	408				hypothetical protein
MMFJJJCJ_00305	CDS	708				hypothetical protein
MMFJJJCJ_00306	CDS	393	hit		COG0537	Protein hit
MMFJJJCJ_00307	CDS	270				hypothetical protein
MMFJJJCJ_00308	CDS	345				hypothetical protein
MMFJJJCJ_00309	CDS	1935				hypothetical protein
MMFJJJCJ_00310	CDS	930				hypothetical protein
MMFJJJCJ_00311	CDS	468				hypothetical protein
MMFJJJCJ_00312	CDS	498				hypothetical protein
MMFJJJCJ_00313	CDS	246				hypothetical protein
MMFJJJCJ_00314	CDS	834				hypothetical protein
MMFJJJCJ_00315	CDS	486				hypothetical protein
MMFJJJCJ_00316	CDS	324				hypothetical protein
MMFJJJCJ_00317	CDS	192				hypothetical protein
MMFJJJCJ_00318	tRNA	76				tRNA-Arg(gcg)
MMFJJJCJ_00319	CDS	384				hypothetical protein
MMFJJJCJ_00320	CDS	741				hypothetical protein
MMFJJJCJ_00321	CDS	456				hypothetical protein
MMFJJJCJ_00322	CDS	1149				hypothetical protein
MMFJJJCJ_00323	CDS	396				hypothetical protein
MMFJJJCJ_00324	CDS	237				hypothetical protein
MMFJJJCJ_00325	CDS	1407	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
MMFJJJCJ_00326	CDS	816				hypothetical protein
MMFJJJCJ_00327	CDS	942	cobD		COG1270	Cobalamin biosynthesis protein CobD
MMFJJJCJ_00328	CDS	1527	cobQ		COG1492	Cobyric acid synthase
MMFJJJCJ_00329	CDS	999	osmX		COG1732	Osmoprotectant-binding protein OsmX
MMFJJJCJ_00330	CDS	777				hypothetical protein
MMFJJJCJ_00331	CDS	1212	osmV_1	3.6.3.-	COG1125	Osmoprotectant import ATP-binding protein OsmV
MMFJJJCJ_00332	CDS	654	opuCB_1		COG1174	Carnitine transport permease protein OpuCB
MMFJJJCJ_00333	CDS	723				hypothetical protein
MMFJJJCJ_00334	CDS	1536		6.2.1.50	COG0318	p-hydroxybenzoic acid--AMP ligase FadD22
MMFJJJCJ_00335	CDS	1572	appA			Oligopeptide-binding protein AppA
MMFJJJCJ_00336	CDS	966	nikB		COG0601	Nickel transport system permease protein NikB
MMFJJJCJ_00337	CDS	864	dppC_1		COG1173	Dipeptide transport system permease protein DppC
MMFJJJCJ_00338	CDS	1518	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
MMFJJJCJ_00339	CDS	441				hypothetical protein
MMFJJJCJ_00340	CDS	1218	ydhP_2		COG2814	Inner membrane transport protein YdhP
MMFJJJCJ_00341	CDS	1413	caeA_2	3.1.1.-		Carboxylesterase A
MMFJJJCJ_00342	CDS	639	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
MMFJJJCJ_00343	CDS	927	mdh_1	1.1.1.37		Malate dehydrogenase
MMFJJJCJ_00344	CDS	1611	mdlC	4.1.1.7		Benzoylformate decarboxylase
MMFJJJCJ_00345	CDS	1497	actP_1		COG4147	Cation/acetate symporter ActP
MMFJJJCJ_00346	CDS	240				hypothetical protein
MMFJJJCJ_00347	CDS	774	kipR_1		COG1414	HTH-type transcriptional regulator KipR
MMFJJJCJ_00348	CDS	414				hypothetical protein
MMFJJJCJ_00349	CDS	507				hypothetical protein
MMFJJJCJ_00350	CDS	882				hypothetical protein
MMFJJJCJ_00351	CDS	267				hypothetical protein
MMFJJJCJ_00352	CDS	387				hypothetical protein
MMFJJJCJ_00353	CDS	546				hypothetical protein
MMFJJJCJ_00354	CDS	1095				hypothetical protein
MMFJJJCJ_00355	CDS	384				hypothetical protein
MMFJJJCJ_00356	CDS	396				hypothetical protein
MMFJJJCJ_00357	CDS	570				hypothetical protein
MMFJJJCJ_00358	CDS	318				hypothetical protein
MMFJJJCJ_00359	CDS	687				hypothetical protein
MMFJJJCJ_00360	CDS	540				hypothetical protein
MMFJJJCJ_00361	CDS	543				hypothetical protein
MMFJJJCJ_00362	CDS	261				hypothetical protein
MMFJJJCJ_00363	CDS	3702	cobN	6.6.1.2		Aerobic cobaltochelatase subunit CobN
MMFJJJCJ_00364	CDS	1668	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
MMFJJJCJ_00365	CDS	1407	gabP_1		COG1113	GABA permease
MMFJJJCJ_00366	CDS	1794	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
MMFJJJCJ_00367	CDS	957				hypothetical protein
MMFJJJCJ_00368	CDS	1716	pknD_4	2.7.11.1		Serine/threonine-protein kinase PknD
MMFJJJCJ_00369	CDS	1335	pknD_5	2.7.11.1		Serine/threonine-protein kinase PknD
MMFJJJCJ_00370	CDS	966	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
MMFJJJCJ_00371	CDS	702				hypothetical protein
MMFJJJCJ_00372	CDS	273				hypothetical protein
MMFJJJCJ_00373	CDS	279				hypothetical protein
MMFJJJCJ_00374	CDS	3372	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
MMFJJJCJ_00375	CDS	681				hypothetical protein
MMFJJJCJ_00376	CDS	336				hypothetical protein
MMFJJJCJ_00377	CDS	648	liaR_1		COG2197	Transcriptional regulatory protein LiaR
MMFJJJCJ_00378	CDS	1158				hypothetical protein
MMFJJJCJ_00379	CDS	195				hypothetical protein
MMFJJJCJ_00380	CDS	678	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
MMFJJJCJ_00381	CDS	1956				hypothetical protein
MMFJJJCJ_00382	CDS	237				hypothetical protein
MMFJJJCJ_00383	CDS	933				hypothetical protein
MMFJJJCJ_00384	CDS	1182				hypothetical protein
MMFJJJCJ_00385	CDS	597	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
MMFJJJCJ_00386	CDS	777				hypothetical protein
MMFJJJCJ_00387	CDS	756	cmpB_1			Bicarbonate transport system permease protein CmpB
MMFJJJCJ_00388	CDS	987			COG0715	Putative thiamine biosynthesis protein
MMFJJJCJ_00389	CDS	483				hypothetical protein
MMFJJJCJ_00390	CDS	795	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MMFJJJCJ_00391	CDS	798	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
