# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1074831at2	Complete	NODE_213_length_6583_cov_55.149783	2618	4438	-	272.0	404	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_31_length_78424_cov_60.740067	19081	20190	-	390.6	259	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_178_length_11405_cov_54.969941	6235	7638	-	303.6	355	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Fragmented	NODE_56_length_48730_cov_65.049791	48311	48730	+	92.1	99	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_178_length_11405_cov_54.969941	7620	8681	-	230.7	259	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_216_length_6425_cov_54.233566	4282	5166	+	121.3	125	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Duplicated	NODE_6_length_148173_cov_63.837138	141087	141713	+	179.7	162	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1211060at2	Duplicated	NODE_209_length_7011_cov_59.850813	1545	2150	+	164.9	155	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NODE_83_length_38306_cov_61.714503	9782	10819	+	229.6	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_14_length_109822_cov_58.380127	68410	69204	-	332.2	246	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_56_length_48730_cov_65.049791	45167	45817	+	170.3	161	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_129_length_21457_cov_56.876934	19885	20862	+	130.6	156	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NODE_70_length_42981_cov_60.370981	3997	5229	-	329.9	287	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NODE_17_length_105294_cov_62.596803	17613	18806	+	92.8	136	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_67_length_44483_cov_59.932072	40831	41367	-	150.7	149	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NODE_46_length_57610_cov_60.373171	43384	44394	-	249.2	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_67_length_44483_cov_59.932072	42067	42645	-	217.3	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_56_length_48730_cov_65.049791	2985	3551	+	85.4	104	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_64_length_45262_cov_58.598737	34459	35178	+	42.9	99	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_67_length_44483_cov_59.932072	36971	37621	-	142.3	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_104_length_28830_cov_60.869735	20284	20796	-	32.6	70	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_70_length_42981_cov_60.370981	5633	6334	-	267.2	180	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_31_length_78424_cov_60.740067	75093	76058	-	182.2	222	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_67_length_44483_cov_59.932072	39781	40404	-	221.4	147	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_56_length_48730_cov_65.049791	40835	41305	+	197.3	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_67_length_44483_cov_59.932072	37621	38916	-	333.0	310	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_56_length_48730_cov_65.049791	45814	46416	+	132.3	119	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_129_length_21457_cov_56.876934	10915	11331	+	123.5	139	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_34_length_74114_cov_65.743874	34447	35097	-	51.6	71	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NODE_64_length_45262_cov_58.598737	11612	13075	+	500.0	404	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_84_length_38109_cov_60.300247	1973	2569	-	40.5	54	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NODE_104_length_28830_cov_60.869735	2	958	-	270.0	187	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NODE_13_length_111685_cov_65.013338	78636	79235	+	163.9	148	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_56_length_48730_cov_65.049791	47931	48311	+	114.8	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_33_length_74197_cov_63.246456	153	875	-	216.5	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_97_length_32061_cov_60.614674	2135	2692	+	144.7	131	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NODE_9_length_125761_cov_62.655993	19063	19638	+	125.3	116	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NODE_67_length_44483_cov_59.932072	41384	41776	-	190.2	128	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_104_length_28830_cov_60.869735	18974	19324	-	129.1	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_3_length_180888_cov_65.292917	46707	47603	-	152.8	143	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_33_length_74197_cov_63.246456	937	1365	-	127.0	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NODE_56_length_48730_cov_65.049791	40386	40835	+	171.4	106	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_6_length_148173_cov_63.837138	140664	141065	+	159.7	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NODE_74_length_40820_cov_66.584474	6712	7185	+	205.3	140	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NODE_124_length_22366_cov_58.722290	12392	13171	+	52.8	86	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_103_length_28957_cov_57.438085	6758	7438	+	90.4	96	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NODE_182_length_10316_cov_62.968299	1218	1736	+	111.9	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_6_length_148173_cov_63.837138	140232	140612	+	141.3	104	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_13_length_111685_cov_65.013338	17552	17842	+	48.1	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_67_length_44483_cov_59.932072	43908	44327	-	156.7	102	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_67_length_44483_cov_59.932072	42959	43327	-	141.3	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NODE_182_length_10316_cov_62.968299	644	1087	+	160.6	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_56_length_48730_cov_65.049791	3610	3999	+	89.5	86	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_83_length_38306_cov_61.714503	7133	7603	+	57.2	66	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_46_length_57610_cov_60.373171	7980	8537	-	73.5	75	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_64_length_45262_cov_58.598737	38280	38756	+	67.8	69	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_6_length_148173_cov_63.837138	142932	143486	+	97.8	96	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_35_length_70253_cov_63.176568	59184	60029	-	44.6	84	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_70_length_42981_cov_60.370981	15554	16498	-	177.7	179	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_46_length_57610_cov_60.373171	5894	6373	-	131.4	105	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_67_length_44483_cov_59.932072	39117	39599	-	71.3	82	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_46_length_57610_cov_60.373171	4030	4764	-	71.8	95	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_56_length_48730_cov_65.049791	47612	47893	+	135.9	70	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_92_length_33489_cov_63.071159	27520	27777	-	122.8	66	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_160_length_15741_cov_60.746381	2	580	+	41.1	73	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_103_length_28957_cov_57.438085	7905	8273	+	102.3	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_104_length_28830_cov_60.869735	21768	22259	-	104.8	69	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_3_length_180888_cov_65.292917	49278	50096	-	222.2	246	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Duplicated	NODE_13_length_111685_cov_65.013338	18524	18760	+	90.3	52	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1940575at2	Duplicated	NODE_61_length_46818_cov_57.698764	26944	27171	-	86.4	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_92_length_33489_cov_63.071159	27790	28104	-	110.9	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_13_length_111685_cov_65.013338	18780	19226	+	75.3	89	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_67_length_44483_cov_59.932072	40442	40828	-	130.7	102	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NODE_216_length_6425_cov_54.233566	2638	3147	+	147.9	124	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_56_length_48730_cov_65.049791	46428	46727	+	131.7	92	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_31_length_78424_cov_60.740067	74635	74904	-	112.1	66	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_92_length_33489_cov_63.071159	18040	18453	-	85.2	82	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_64_length_45262_cov_58.598737	21886	22194	-	60.3	71	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_56_length_48730_cov_65.049791	44845	45153	+	145.8	87	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_67_length_44483_cov_59.932072	43398	43670	-	82.6	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_67_length_44483_cov_59.932072	42651	42959	-	50.4	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_103_length_28957_cov_57.438085	7557	7832	+	35.4	32	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_67_length_44483_cov_59.932072	43663	43908	-	55.3	34	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_6_length_148173_cov_63.837138	139649	139870	+	92.7	49	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_103_length_28957_cov_57.438085	148	606	+	34.5	67	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
